datetime;uc01;uc02;uc03;uc04
01.01.2019 0:00:00;3680,421348179;3202,998731378;2859,115154237;2719,976087932
01.01.2019 1:00:00;3307,843713979;2925,976680286;2761,239905072;2477,769429226
01.01.2019 2:00:00;2853,012301604;2608,138566807;2473,327007806;2333,194476570
01.01.2019 3:00:00;2568,268576224;2393,073399009;2358,945678624;2222,080513891
01.01.2019 4:00:00;2419,946303782;2302,320175214;2253,324190959;2249,319340560
01.01.2019 5:00:00;2481,374660669;2343,851434933;2164,278692388;2354,974635635
01.01.2019 6:00:00;2610,567744988;2403,756312880;2147,758009581;2304,183413614
01.01.2019 7:00:00;2582,863352302;2408,284718335;2177,542517757;2370,740759026
01.01.2019 8:00:00;2724,512276497;2477,945628294;2163,258799942;2473,906111957
01.01.2019 9:00:00;2837,502952465;2562,543881353;2235,091401767;2656,251353738
01.01.2019 10:00:00;3047,671011650;2752,932440417;2276,878536134;2664,052761588
01.01.2019 11:00:00;3272,275150692;2892,633984327;2461,059591532;2770,538616779
01.01.2019 12:00:00;3434,042157549;2982,697876642;2531,548372639;2957,062178950
01.01.2019 13:00:00;3667,147689119;3151,777989086;2509,013920046;3093,976494058
01.01.2019 14:00:00;3987,541161828;3403,544277810;2659,848322682;3405,581858767
01.01.2019 15:00:00;4439,220418735;3686,424128887;2797,936326747;3586,247017065
01.01.2019 16:00:00;5167,258287191;4204,821113062;2699,687783670;3731,756318952
01.01.2019 17:00:00;5475,916204468;4303,101397066;3178,614961792;3726,260344770
01.01.2019 18:00:00;5324,428553272;4299,937503983;3125,401307052;3623,860723418
01.01.2019 19:00:00;5135,845364517;4130,539535842;2975,486380352;3368,701265158
01.01.2019 20:00:00;4805,482570452;3927,165613095;3306,797313349;3495,804664910
01.01.2019 21:00:00;4460,803797726;3797,519424726;2936,193444553;3392,422270570
01.01.2019 22:00:00;4247,364104554;3536,034583488;2764,771260965;3047,526704134
01.01.2019 23:00:00;4010,639415758;3389,878392397;2655,874772718;2923,344040324
02.01.2019 0:00:00;3518,515959344;3035,828872740;2736,576461991;2617,631002909
02.01.2019 1:00:00;3015,594345591;2685,986004148;2474,205370043;2389,150533331
02.01.2019 2:00:00;2685,376514579;2477,201763272;2292,983369298;2070,163476748
02.01.2019 3:00:00;2141,278936175;2098,586593676;2265,105675029;2000
02.01.2019 4:00:00;2000;2000;2054,574620281;2111,488008428
02.01.2019 5:00:00;2224,186820636;2154,419720766;2000;2221,366653819
02.01.2019 6:00:00;2430,495790603;2295,557470509;2069,808729385;2218,500850019
02.01.2019 7:00:00;2422,537629022;2279,418282177;2153,846419071;2286,614424549
02.01.2019 8:00:00;2524,866511670;2356,505259294;2138,322177221;2409,358283528
02.01.2019 9:00:00;2729,758998591;2524,455679696;2208,428444443;2508,010054935
02.01.2019 10:00:00;2929,458715569;2633,720754693;2209,251417879;2652,045954189
02.01.2019 11:00:00;3213,581465010;2786,193314939;2358,999980611;2686,445684423
02.01.2019 12:00:00;3303,645807375;2901,294343457;2400,386203932;2809,499652407
02.01.2019 13:00:00;3521,997610852;3003,436517510;2532,959777462;3047,999196937
02.01.2019 14:00:00;3811,909124726;3207,456897101;2688,366643615;3266,642536389
02.01.2019 15:00:00;4303,033068194;3578,533084115;2750,874178749;3744,542099658
02.01.2019 16:00:00;4857,746118077;3895,549381578;2736,100534114;3737,851748906
02.01.2019 17:00:00;5151,292272236;4217,119152725;3146,133693182;3600,331713618
02.01.2019 18:00:00;5221,385342033;4211,745133551;3291,712636958;3659,926766822
02.01.2019 19:00:00;4836,415551925;3895,734205515;3172,336740913;3340,228178523
02.01.2019 20:00:00;4506,438479776;3827,533874955;2902,444127044;3089,967126751
02.01.2019 21:00:00;4240,831953997;3498,691095855;3018,715920415;3044,901758682
02.01.2019 22:00:00;3940,057918043;3398,301645149;2631,168642908;3008,740865478
02.01.2019 23:00:00;3810,212531480;3238,518744656;2853,191712323;2855,314557982
03.01.2019 0:00:00;3454,271861557;2972,660644123;2772,946813945;2567,626168816
03.01.2019 1:00:00;3006,493320642;2679,294692867;2492,687754810;2326,023998394
03.01.2019 2:00:00;2619,356147992;2437,311050229;2362,837311312;2136,727663368
03.01.2019 3:00:00;2253,181186794;2177,493474968;2216,271059008;2128,624394959
03.01.2019 4:00:00;2215,014440181;2146,435634823;2096,212571716;2195,996680525
03.01.2019 5:00:00;2331,981385245;2235,052773489;2091,208247136;2245,986472550
03.01.2019 6:00:00;2484,759238015;2341,138032547;2131,565891642;2298,224323025
03.01.2019 7:00:00;2529,896426069;2371,340625536;2132,983083071;2337,334713445
03.01.2019 8:00:00;2624,275350350;2450,425073006;2164,954557648;2411,343434954
03.01.2019 9:00:00;2832,977925214;2566,825489656;2253,662270556;2604,472618262
03.01.2019 10:00:00;3007,161227789;2711,995324870;2238,394756754;2700,603752590
03.01.2019 11:00:00;3212,863359613;2824,457704644;2428,705673852;2725,846369200
03.01.2019 12:00:00;3368,225652897;2946,899390519;2484,851782888;2804,719824281
03.01.2019 13:00:00;3414,288317270;2935,499888860;2625,063607239;2886,233057884
03.01.2019 14:00:00;3699,680812482;3185,076488751;2514,099212658;3370,938524177
03.01.2019 15:00:00;4291,494159162;3549,650864234;2542,672299758;3359,453219492
